index,entry,name,equation,enzyme,equation_no_coeff
13,rn:R00017,ferrocytochrome-c:hydrogen-peroxide oxidoreductase,C00027 + 2 C00126 <=> 2 C00125 + 2 C00001,1.11.1.5,C00027+C00126<=>C00125+C00001
14,rn:R00018,putrescine:putrescine 4-aminobutyltransferase (ammonia-forming),2 C00134 <=> C06366 + C00014,2.5.1.44,C00134<=>C06366+C00014
15,rn:R00019,hydrogen:ferredoxin oxidoreductase;||reduced ferredoxin:H+ oxidoreductase,2 C00138 + 2 C00080 <=> C00282 + 2 C00139,"1.12.7.2,1.12.99.-",C00138+C00080<=>C00282+C00139
16,rn:R00021,L-glutamate:ferredoxin oxidoreductase (transaminating),2 C00025 + 2 C00139 <=> C00064 + C00026 + 2 C00138 + 2 C00080,1.4.7.1,C00025+C00139<=>C00064+C00026+C00138+C00080
17,rn:R00022,chitobiose N-acetylglucosaminohydrolase,C01674 + C00001 <=> 2 C00140,3.2.1.52,C01674+C00001<=>C00140
18,rn:R00023,hydroxylamine:NAD+ oxidoreductase;||NADH:hyponitrite oxidoreductase,2 C00192 + 2 C00003 <=> C01818 + 2 C00004 + 2 C00080,1.7.1.5,C00192+C00003<=>C01818+C00004+C00080
19,rn:R00024,"3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)",C01182 + C00011 + C00001 <=> 2 C00197,4.1.1.39,C01182+C00011+C00001<=>C00197
20,rn:R00025,ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming),C18091 + C00007 + C01847 <=> C00084 + C00088 + C00061 + C00001,1.13.12.16,C18091+C00007+C01847<=>C00084+C00088+C00061+C00001
21,rn:R00026,cellobiose glucohydrolase,C00185 + C00001 <=> 2 C00221,3.2.1.21,C00185+C00001<=>C00221
22,rn:R00027,"2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)",C01408 <=> 2 C00261,4.1.2.38,C01408<=>C00261
23,rn:R00028,maltose glucohydrolase,C00208 + C00001 <=> 2 C00031,3.2.1.20,C00208+C00001<=>C00031
24,rn:R00029,thiosulfate:ferricytochrome-c oxidoreductase,2 C00320 + 2 C00125 <=> C02084 + 2 C00126,1.8.2.2,C00320+C00125<=>C02084+C00126
25,rn:R00031,"1,2-benzenediol:oxygen oxidoreductase",C00007 + 2 C00082 <=> 2 C00355,"1.10.3.1,1.14.18.1",C00007+C00082<=>C00355
26,rn:R00032,"beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)",C02094 + C00007 <=> 2 C00376,1.13.11.63,C02094+C00007<=>C00376
27,rn:R00033,thiamine:oxygen 5-oxidoreductase,C00378 + C00007 <=> C00027 + C05856,1.1.3.23,C00378+C00007<=>C00027+C05856
28,rn:R00034,Cyclobutadipyrimidine (in DNA) pyrimidine-lyase,C03103 <=> 2 C08249,4.1.99.3,C03103<=>C08249
29,rn:R00036,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming),2 C00430 <=> C00931 + 2 C00001,4.2.1.24,C00430<=>C00931+C00001
30,rn:R00038,4-hydroxy-3-hexanone propanal-lyase (propanal-forming),2 C00479 <=> C02948,4.1.2.35,C00479<=>C02948
31,rn:R00039,raffinose:raffinose 1F-alpha-D-galactosyltransferase,2 C00492 <=> C08242 + C00089,2.4.1.166,C00492<=>C08242+C00089
32,rn:R00041,long-chain-alcohol:oxygen oxidoreductase,2 C00339 + C00007 <=> 2 C00609 + 2 C00001,1.1.3.20,C00339+C00007<=>C00609+C00001
33,rn:R00042,4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating),2 C01179 + C00007 <=> 2 C00642 + 2 C00011,1.2.3.13,C01179+C00007<=>C00642+C00011
34,rn:R00043,"1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)",C04547 + C00007 <=> 2 C00755,1.13.11.43,C04547+C00007<=>C00755
35,rn:R00044,columbamine:oxygen oxidoreductase (cyclizing),2 C01795 + C00007 <=> 2 C00757 + 2 C00001,1.21.3.2,C01795+C00007<=>C00757+C00001
36,rn:R00045,"3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase",C00007 + 2 C00355 <=> 2 C00822 + 2 C00001,"1.10.3.1,1.14.18.1",C00007+C00355<=>C00822+C00001
37,rn:R00047,"6-hydroxynicotinate,hydrogen-donor:oxygen oxidoreductase (3-hydroxylating, decarboxylating)",C00007 + C01020 + C00030 <=> C01059 + C00011 + C00028 + C00001,1.14.99.-,C00007+C01020+C00030<=>C01059+C00011+C00028+C00001
38,rn:R00048,(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase,C04546 + C00001 <=> 2 C01089,3.1.1.22,C04546+C00001<=>C01089
39,rn:R00049,1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase,2 C01158 <=> C00031 + C04101,2.3.1.90,C01158<=>C00031+C04101
40,rn:R00052,chloride:hydrogen-peroxide oxidoreductase,C00027 + C01371 + C01327 <=> C01334 + 2 C00001,1.11.1.10,C00027+C01371+C01327<=>C01334+C00001
41,rn:R00053,digallate acylhydrolase;||tannin acylhydrolase,C01572 + C00001 <=> 2 C01424,3.1.1.20,C01572+C00001<=>C01424
42,rn:R00054,orsellinate-depside hydrolase,C02868 + C00001 <=> 2 C01839,3.1.1.40,C02868+C00001<=>C01839
43,rn:R00055,inosine:oxygen 5'-oxidoreductase,2 C00294 + C00007 <=> 2 C01993 + 2 C00001,1.1.3.28,C00294+C00007<=>C01993+C00001
44,rn:R00056,dinucleotide nucleotidohydrolase,C01910 + C00001 <=> 2 C02171,3.6.1.-,C01910+C00001<=>C02171
45,rn:R00057,thiol:oxygen oxidoreductase,C00007 + 2 C01525 <=> C02318 + C00027,1.8.3.2,C00007+C01525<=>C02318+C00027
46,rn:R00058,"catechol:oxygen oxidoreductase;||1,2-benzenediol:oxygen oxidoreductase",C00007 + 2 C00090 <=> 2 C02351 + 2 C00001,"1.10.3.1,1.14.18.1",C00007+C00090<=>C02351+C00001
47,rn:R00059,N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase,C01255 + C00001 <=> 2 C02378,3.5.1.46,C01255+C00001<=>C02378
48,rn:R00060,"Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)",C00007 + 2 C00495 <=> 2 C03036 + 2 C00001,1.21.3.4,C00007+C00495<=>C03036+C00001
49,rn:R00061,"sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)",C00007 + 2 C00495 <=> 2 C03040 + 2 C00001,1.21.3.5,C00007+C00495<=>C03040+C00001
50,rn:R00062,bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase,2 C03374 <=> C00486 + C05787,,C03374<=>C00486+C05787
51,rn:R00063,"1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase;||1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4-hydroxy-3,5-dimethoxycinnamoyl-beta-D-glucoside 1-O-sinapoyltransferase",2 C01175 <=> C04275 + C00031,2.3.1.103,C01175<=>C04275+C00031
52,rn:R00066,"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase",2 C04332 <=> C00255 + C04732,2.5.1.9,C04332<=>C00255+C04732
53,rn:R00067,Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing),2 C05359 + 2 C00080 <=> C00282,1.18.6.1,C05359+C00080<=>C00282
54,rn:R00068,L-ascorbate:oxygen oxidoreductase,C00007 + 2 C00072 <=> 2 C05422 + 2 C00001,1.10.3.3,C00007+C00072<=>C05422+C00001
55,rn:R00069,4-imidazolone-5-propanoate:oxygen oxidoreductase,C05565 + C00027 <=> C03680 + C00007 + C00001,"1.14.13.-,1.17.3.2",C05565+C00027<=>C03680+C00007+C00001
56,rn:R00070,D-urobilinogen:oxygen oxidoreductase,2 C05791 + C00007 <=> 2 C05795 + 2 C00001,,C05791+C00007<=>C05795+C00001
57,rn:R00072,thiamine-aldehyde:oxygen 5-oxidoreductase,C05856 + C00007 + C00001 <=> C00027 + C02892,1.1.3.23,C05856+C00007+C00001<=>C00027+C02892
58,rn:R00073,reduced acceptor:prostaglandin G2 oxidoreductase,C00427 + C00028 + C00001 <=> C05956 + C00030,1.14.99.1,C00427+C00028+C00001<=>C05956+C00030
59,rn:R00074,2-aminophenol:oxygen oxidoreductase (dimerizing),4 C01987 + 3 C00007 <=> 2 C02161 + 6 C00001,1.10.3.4,C01987+C00007<=>C02161+C00001
60,rn:R00075,S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase,3 C00019 <=> 3 C00170 + C05324,2.5.1.43,C00019<=>C00170+C05324
61,rn:R00076,ATP:phosphorylase-b phosphotransferase;||ATP:[glycogen phosphorylase] phosphotransferase,4 C00002 + 2 C02308 <=> 4 C00008 + C02307,2.7.11.19,C00002+C02308<=>C00008+C02307
62,rn:R00077,[Phosphorylase a] phosphohydrolase;||[glycogen phosphorylase] phosphohydrolase,C02307 + 4 C00001 <=> 2 C02308 + 4 C00009,3.1.3.17,C02307+C00001<=>C02308+C00009
63,rn:R00078,Fe(II):oxygen oxidoreductase;||Fe2+:oxygen oxidoreductase,C00007 + 4 C14818 + 4 C00080 <=> 4 C14819 + 2 C00001,1.16.3.1,C00007+C14818+C00080<=>C14819+C00001
64,rn:R00080,Catechol:oxygen oxidoreductase (dimerizing),4 C00090 + 3 C00007 <=> 6 C00001 + 2 C03861,"1.1.3.14,1.10.3.1",C00090+C00007<=>C00001+C03861
65,rn:R00081,ferrocytochrome-c:oxygen oxidoreductase,C00007 + 4 C00126 + 4 C00080 <=> 4 C00125 + 2 C00001,"1.7.2.1,7.1.1.9",C00007+C00126+C00080<=>C00125+C00001
66,rn:R00082,ferrocytochrome c2:oxygen oxidoreductase,C00007 + 4 C01000 <=> 4 C00997 + 2 C00001,"1.7.2.1,7.1.1.9",C00007+C01000<=>C00997+C00001
67,rn:R00083,Benzenediol:oxygen oxidoreductase,C00007 + 4 C01785 <=> 4 C05309 + 2 C00001,1.10.3.2,C00007+C01785<=>C05309+C00001
68,rn:R00084,porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing);||porphobilinogen ammonia-lyase (polymerizing),4 C00931 + C00001 <=> C01024 + 4 C00014,2.5.1.61,C00931+C00001<=>C01024+C00014
69,rn:R00085,ATP diphosphohydrolase (phosphate-forming),C00002 + 2 C00001 <=> C00020 + 2 C00009,3.6.1.5,C00002+C00001<=>C00020+C00009
70,rn:R00086,ATP phosphohydrolase,C00002 + C00001 <=> C00008 + C00009,"3.6.1.5,3.6.1.8,3.6.1.15,3.6.1.-",C00002+C00001<=>C00008+C00009
71,rn:R00087,ATP diphosphohydrolase (diphosphate-forming);||ATP pyrophosphohydrolase,C00002 + C00001 <=> C00020 + C00013,"3.6.1.8,3.6.1.9",C00002+C00001<=>C00020+C00013
72,rn:R00088,ATP aminohydrolase,C00002 + C00001 <=> C00081 + C00014,"3.5.4.17,3.5.4.18",C00002+C00001<=>C00081+C00014
73,rn:R00089,"ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)",C00002 <=> C00575 + C00013,4.6.1.1,C00002<=>C00575+C00013
74,rn:R00090,NADH:hydrogen-peroxide oxidoreductase,C00027 + C00004 + C00080 <=> C00003 + 2 C00001,1.11.1.1,C00027+C00004+C00080<=>C00003+C00001
75,rn:R00091,CoA:NAD+ oxidoreductase,C00003 + 2 C00010 <=> C02015 + C00004 + C00080,,C00003+C00010<=>C02015+C00004+C00080
76,rn:R00092,Fe2+:NAD+ oxidoreductase;||NADH:Fe3+ oxidoreductase,C00003 + 2 C14818 <=> C00004 + C00080 + 2 C14819,1.16.1.7,C00003+C14818<=>C00004+C00080+C14819
77,rn:R00093,L-glutamate:NAD+ oxidoreductase (transaminating),2 C00025 + C00003 <=> C00064 + C00026 + C00004 + C00080,1.4.1.14,C00025+C00003<=>C00064+C00026+C00004+C00080
78,rn:R00094,glutathione:NAD+ oxidoreductase,2 C00051 + C00003 <=> C00127 + C00004 + C00080,1.8.1.7,C00051+C00003<=>C00127+C00004+C00080
79,rn:R00095,NADH:monodehydroascorbate oxidoreductase,C00003 + 2 C00072 <=> C00004 + 2 C01041 + C00080,1.6.5.4,C00003+C00072<=>C00004+C01041+C00080
80,rn:R00097,,C00541 <=> C00992,,C00541<=>C00992
81,rn:R00099,cob(I)alamin:NAD+ oxidoreductase;||NADH:cob(II)alamin oxidoreductase,C00003 + 2 C00853 <=> C00004 + C00080 + 2 C00541,1.16.1.4,C00003+C00853<=>C00004+C00080+C00541
82,rn:R00100,NADH:ferricytochrome-b5 oxidoreductase,C00004 + 2 C00996 <=> C00003 + 2 C00999 + C00080,1.6.2.2,C00004+C00996<=>C00003+C00999+C00080
83,rn:R00101,NADH:ferrileghemoglobin oxidoreductase,C00004 + 2 C02683 <=> C00003 + 2 C02685 + C00080,1.6.2.6,C00004+C02683<=>C00003+C02685+C00080
84,rn:R00102,NAD+ glycohydrolase,C00003 + C00001 <=> C00153 + C00301,"3.2.2.5,3.2.2.6,3.5.1.-",C00003+C00001<=>C00153+C00301
85,rn:R00103,NAD+ phosphohydrolase,C00003 + C00001 <=> C00020 + C00455,"3.6.1.9,3.6.1.22",C00003+C00001<=>C00020+C00455
86,rn:R00104,ATP:NAD+ 2'-phosphotransferase,C00002 + C00003 <=> C00008 + C00006,2.7.1.23,C00002+C00003<=>C00008+C00006
87,rn:R00105,ATP:NADH 2'-phosphotransferase,C00002 + C00004 <=> C00008 + C00005,2.7.1.86,C00002+C00004<=>C00008+C00005
88,rn:R00106,NADPH:ferricytochrome oxidoreductase,C00005 + 2 C00923 <=> C00006 + 2 C00924 + C00080,1.6.2.4,C00005+C00923<=>C00006+C00924+C00080
89,rn:R00108,NADPH:ferricytochrome-c2 oxidoreductase,C00005 + 2 C00997 <=> C00006 + 2 C01000 + C00080,1.6.2.5,C00005+C00997<=>C00006+C01000+C00080
90,rn:R00109,NADPH:ferrileghemoglobin oxidoreductase,C00005 + 2 C02683 <=> C00006 + 2 C02685 + C00080,1.6.2.6,C00005+C02683<=>C00006+C02685+C00080
91,rn:R00111,"N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)",C00005 + 2 C05933 + 2 C00007 + C00080 <=> C00006 + 2 C00533 + 2 C00327 + 2 C00001,1.14.13.39,C00005+C05933+C00007+C00080<=>C00006+C00533+C00327+C00001
92,rn:R00112,NADPH:NAD+ oxidoreductase,C00005 + C00003 <=> C00006 + C00004,"1.6.1.1,1.6.1.2,1.6.1.3",C00005+C00003<=>C00006+C00004
93,rn:R00113,NADPH:hydrogen-peroxide oxidoreductase,C00027 + C00005 + C00080 <=> C00006 + 2 C00001,1.11.1.2,C00027+C00005+C00080<=>C00006+C00001
94,rn:R00114,L-glutamate:NADP+ oxidoreductase (transaminating),2 C00025 + C00006 <=> C00064 + C00026 + C00005 + C00080,1.4.1.13,C00025+C00006<=>C00064+C00026+C00005+C00080
95,rn:R00115,glutathione:NADP+ oxidoreductase,2 C00051 + C00006 <=> C00127 + C00005 + C00080,1.8.1.7,C00051+C00006<=>C00127+C00005+C00080
96,rn:R00118,NADP+ 2'-phosphohydrolase,C00006 + C00001 <=> C00009 + C00003,"3.1.3.108,3.1.3.-",C00006+C00001<=>C00009+C00003
97,rn:R00119,NADP+:nicotinate ADP-ribosyltransferase,C00006 + C00253 <=> C00153 + C13051,2.4.99.20,C00006+C00253<=>C00153+C13051
98,rn:R00120,glutathione:oxygen oxidoreductase,C00007 + 2 C00051 <=> C00127 + C00027,1.8.3.3,C00007+C00051<=>C00127+C00027
99,rn:R00122,ADP phosphohydrolase,C00008 + C00001 <=> C00020 + C00009,3.6.1.5,C00008+C00001<=>C00020+C00009
100,rn:R00123,ADP aminohydrolase,C00008 + C00001 <=> C00104 + C00014,"3.5.4.7,3.5.4.17",C00008+C00001<=>C00104+C00014
101,rn:R00124,ATP:ADP phosphatransferase,C00002 + C00008 <=> C00008 + C00002,2.7.4.6,C00002+C00008<=>C00008+C00002
102,rn:R00125,"P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase",C01260 + C00001 <=> 2 C00008,3.6.1.41,C01260+C00001<=>C00008
103,rn:R00126,ADP:ATP adenylyltransferase,C00008 + C00002 <=> C00009 + C01260,2.7.7.53,C00008+C00002<=>C00009+C01260
104,rn:R00127,ATP:AMP phosphotransferase,C00002 + C00020 <=> 2 C00008,2.7.4.3,C00002+C00020<=>C00008
105,rn:R00128,Adenosine-tetraphosphate phosphohydrolase,C03483 + C00001 <=> C00002 + C00009,3.6.1.14,C03483+C00001<=>C00002+C00009
106,rn:R00129,"(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide hydro-lyase (ATP-hydrolysing, NADH-forming)",C00002 + C04856 <=> C00008 + C00009 + C00004,4.2.1.93,C00002+C04856<=>C00008+C00009+C00004
107,rn:R00130,ATP:dephospho-CoA 3'-phosphotransferase,C00002 + C00882 <=> C00008 + C00010,2.7.1.24,C00002+C00882<=>C00008+C00010
108,rn:R00131,Urea amidohydrolase,C00086 + C00001 <=> C00011 + 2 C00014,3.5.1.5,C00086+C00001<=>C00011+C00014
109,rn:R00132,carbonate hydro-lyase (carbon-dioxide-forming);||carbonic acid hydro-lyase,C01353 <=> C00011 + C00001,4.2.1.1,C01353<=>C00011+C00001
110,rn:R00134,formate:NADP+ oxidoreductase,C00058 + C00006 <=> C00011 + C00005 + C00080,1.17.1.10,C00058+C00006<=>C00011+C00005+C00080
111,rn:R00135,,C00012 + C00001 <=> C00148 + C00012,3.4.11.5,C00012+C00001<=>C00148+C00012
112,rn:R00137,ATP:nicotinamide-nucleotide adenylyltransferase,C00002 + C00455 <=> C00013 + C00003,"2.7.7.1,2.7.7.18",C00002+C00455<=>C00013+C00003
113,rn:R00138,Triphosphate phosphohydrolase,C00536 + C00001 <=> C00013 + C00009,3.6.1.25,C00536+C00001<=>C00013+C00009
114,rn:R00139,ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase,C11038 + C00002 <=> C11039 + C00008,2.7.4.6,C11038+C00002<=>C11039+C00008
115,rn:R00140,ATP:5-hydroxymethyldeoxycytidylate phosphotransferase,C11038 + C00008 <=> C03997 + C00002,2.7.4.12,C11038+C00008<=>C03997+C00002
116,rn:R00141,ATP:ammonia phosphotransferase,C00002 + C00014 <=> C00008 + C02306,2.7.3.8,C00002+C00014<=>C00008+C02306
117,rn:R00143,ammonia:NAD+ oxidoreductase;||NADH:hydroxylamine oxidoreductase,C00014 + C00003 + C00001 <=> C00192 + C00004 + C00080,"1.7.1.10,1.7.99.1",C00014+C00003+C00001<=>C00192+C00004+C00080
118,rn:R00145,alpha-amino acid:NAD+ oxidoreductase (deaminating),C05167 + C00001 + C00003 <=> C00161 + C00014 + C00004 + C00080,"1.4.1.1,1.4.1.2,1.4.1.3,1.4.1.4",C05167+C00001+C00003<=>C00161+C00014+C00004+C00080
119,rn:R00146,alpha-amino acid:NADP+ oxidoreductase (deaminating),C05167 + C00001 + C00006 <=> C00161 + C00014 + C00005 + C00080,"1.4.1.1,1.4.1.2,1.4.1.3,1.4.1.4",C05167+C00001+C00006<=>C00161+C00014+C00005+C00080
120,rn:R00148,"ammonia,ubiquinol:oxygen oxidoreductase;||ammonia monooxygenase",C00014 + C00007 + C00390 <=> C00192 + C00001 + C00399,1.14.99.39,C00014+C00007+C00390<=>C00192+C00001+C00399
121,rn:R00149,"Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)",2 C00002 + C00014 + C00011 + C00001 <=> 2 C00008 + C00009 + C00169,6.3.4.16,C00002+C00014+C00011+C00001<=>C00008+C00009+C00169
122,rn:R00150,ATP:carbamate phosphotransferase,C00002 + C00014 + C00288 <=> C00008 + C00169 + C00001,2.7.2.2,C00002+C00014+C00288<=>C00008+C00169+C00001
123,rn:R00152,hydrogen cyanide aminohydrolase,C01326 + 2 C00001 <=> C00014 + C00058,3.5.5.-,C01326+C00001<=>C00014+C00058
124,rn:R00153,Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing),C05361 + 2 C05359 + 2 C00080 <=> 2 C00014,1.18.6.1,C05361+C05359+C00080<=>C00014
125,rn:R00155,UDP phosphohydrolase,C00015 + C00001 <=> C00105 + C00009,"3.6.1.5,3.6.1.6",C00015+C00001<=>C00105+C00009
126,rn:R00156,ATP:UDP phosphotransferase,C00002 + C00015 <=> C00008 + C00075,2.7.4.6,C00002+C00015<=>C00008+C00075
127,rn:R00157,Uridine triphosphate:AMP phosphotransferase;||UTP:AMP phosphotransferase,C00075 + C00020 <=> C00015 + C00008,2.7.4.10,C00075+C00020<=>C00015+C00008
128,rn:R00158,ATP:UMP phosphotransferase,C00002 + C00105 <=> C00008 + C00015,"2.7.4.4,2.7.4.14,2.7.4.22",C00002+C00105<=>C00008+C00015
129,rn:R00159,UTP phosphohydrolase,C00075 + C00001 <=> C00015 + C00009,"3.6.1.5,3.6.1.39",C00075+C00001<=>C00015+C00009
130,rn:R00160,FAD nucleotidohydrolase,C00016 + C00001 <=> C00020 + C00061,"3.6.1.9,3.6.1.18",C00016+C00001<=>C00020+C00061
131,rn:R00161,ATP:FMN adenylyltransferase,C00002 + C00061 <=> C00013 + C00016,2.7.7.2,C00002+C00061<=>C00013+C00016
132,rn:R00162,ATP:protein phosphotransferase;||ATP:protein phosphotransferase (Ca2+/calmodulin-dependent),C00002 + C00017 <=> C00008 + C00562,"2.7.11.1,2.7.11.8,2.7.11.9,2.7.11.10",C00002+C00017<=>C00008+C00562
133,rn:R00164,Phosphoprotein phosphohydrolase,C00562 + C00001 <=> C00017 + C00009,3.1.3.16,C00562+C00001<=>C00017+C00009
134,rn:R00165,,C00017 <=> C00886,,C00017<=>C00886
135,rn:R00166,,C00017 <=> C02047,,C00017<=>C02047
136,rn:R00167,,C02163 <=> C00613,,C02163<=>C00613
137,rn:R00168,,C00017 <=> C02554,,C00017<=>C02554
138,rn:R00169,,C00017 <=> C02987,,C00017<=>C02987
139,rn:R00170,,C00017 <=> C03127,,C00017<=>C03127
140,rn:R00172,,C00017 <=> C05336,,C00017<=>C05336
141,rn:R00173,pyridoxal-5'-phosphate phosphohydrolase,C00018 + C00001 <=> C00250 + C00009,3.1.3.74,C00018+C00001<=>C00250+C00009
142,rn:R00174,ATP:pyridoxal 5'-phosphotransferase,C00002 + C00250 <=> C00008 + C00018,2.7.1.35,C00002+C00250<=>C00008+C00018
143,rn:R00175,S-Adenosyl-L-methionine hydrolase,C00019 + C00001 <=> C00170 + C00263,3.3.1.2,C00019+C00001<=>C00170+C00263
144,rn:R00177,ATP:L-methionine S-adenosyltransferase,C00009 + C00013 + C00019 <=> C00002 + C00073 + C00001,2.5.1.6,C00009+C00013+C00019<=>C00002+C00073+C00001
145,rn:R00178,S-adenosyl-L-methionine carboxy-lyase [S-adenosyl 3-(methylsulfanyl)propylamine-forming],C00019 + C00080 <=> C01137 + C00011,4.1.1.50,C00019+C00080<=>C01137+C00011
146,rn:R00179,S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming),C00019 <=> C01234 + C00170,4.4.1.14,C00019<=>C01234+C00170
147,rn:R00180,S-Adenosyl-L-methionine alkyltransferase (cyclizing),C00019 <=> C00170 + C02926,2.5.1.4,C00019<=>C00170+C02926
148,rn:R00181,AMP aminohydrolase,C00020 + C00001 <=> C00130 + C00014,"3.5.4.6,3.5.4.17",C00020+C00001<=>C00130+C00014
149,rn:R00182,AMP phosphoribohydrolase,C00020 + C00001 <=> C00147 + C00117,3.2.2.4,C00020+C00001<=>C00147+C00117
150,rn:R00183,adenosine 5'-monophosphate phosphohydrolase,C00020 + C00001 <=> C00212 + C00009,3.1.3.5,C00020+C00001<=>C00212+C00009
151,rn:R00184,"P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase",C01260 + C00001 <=> C00002 + C00020,"3.6.1.17,3.6.1.61",C01260+C00001<=>C00002+C00020
152,rn:R00185,ATP:adenosine 5'-phosphotransferase,C00002 + C00212 <=> C00008 + C00020,"2.7.1.20,2.7.1.74",C00002+C00212<=>C00008+C00020
153,rn:R00187,"P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase",C06197 + C00001 <=> C00008 + C00020,3.6.1.29,C06197+C00001<=>C00008+C00020
154,rn:R00188,"adenosine-3',5'-bisphosphate 3'-phosphohydrolase",C00054 + C00001 <=> C00020 + C00009,"3.1.3.7,3.1.3.97",C00054+C00001<=>C00020+C00009
155,rn:R00189,deamido-NAD+:ammonia ligase (AMP-forming),C00002 + C00857 + C00014 <=> C00020 + C00013 + C00003,"6.3.1.5,6.3.5.1",C00002+C00857+C00014<=>C00020+C00013+C00003
156,rn:R00190,AMP:diphosphate phospho-D-ribosyltransferase,C00020 + C00013 <=> C00147 + C00119,"2.4.2.7,2.4.2.8",C00020+C00013<=>C00147+C00119
